name,spec,price,link
"Holiday cottage in Briquebec town, Normandy - NM006264","Bedrooms 2, Sleeps 4, Ratings 5 9/10",£275 to £395 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006264/index.htm
"Farmhouse with private pool to let, Brittany - BM003862_A","Bedrooms 4, Sleeps 8, Ratings 2 9.8/10",£650 to £1350 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003862_A/index.htm
"Three bedroom holiday cottage, Charente - PC007628","Bedrooms 3, Sleeps 6",£500 to £900 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC007628/index.htm
"Pretty holiday cottage rental, Brittany - BM001294_D","Bedrooms 2, Sleeps 5",£325 to £525 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM001294_D/index.htm
"Bargain gite holiday for 2, in the Charente - PC006061","Bedrooms 1, Sleeps 2, Ratings 1 10/10",£434 to £734 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006061/index.htm
Rural holiday let with pool in Dordogne - AD004850,"Bedrooms 3, Sleeps 8",£1300 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004850/index.htm
Spacious holiday gite near the Pyrenees - AP007016,"Bedrooms 3, Sleeps 6",£1050 to £1500 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AP007016/index.htm
Detached holiday property in Finistere - BF003685,"Bedrooms 6, Sleeps 12, Ratings 18 9.7/10",£1500 to £2800 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF003685/index.htm
Pretty holiday gite with pool in Aquitaine - AD007096,"Bedrooms 2, Sleeps 4",£650 to £1300 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007096/index.htm
"Large Holiday Villa with pool to let, Argeles - RP007280","Bedrooms 5, Sleeps 10",€2600 to €4600 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RP007280/index.htm
Breton cottage to rent in rural Brittany - BM003530,"Bedrooms 1, Sleeps 2, Ratings 30 9.9/10",£360 to £440 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003530/index.htm
Pretty cottage for holidays in Saint-Connec - BN004852,"Bedrooms 3, Sleeps 6",£500 to £700 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN004852/index.htm
Pretty Gite for 2 to rent in rural Vendee - LV006416,"Bedrooms 1, Sleeps 2",£565 to £815 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV006416/index.htm
Family friendly gite to let Charente Maritime - PM005869,"Bedrooms 4, Sleeps 8",£600 to £1300 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005869/index.htm
Villa with private pool to let in Herault - RH006938,"Bedrooms 2, Sleeps 4, Ratings 3 9.9/10",£495 to £1200 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RH006938/index.htm
Chateau to let in parkland in Aquitaine - AT004441,"Bedrooms 5, Sleeps 20",£1500 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT004441/index.htm
Large house +2 gites to let in Dordogne - AD003218_A,"Bedrooms 7, Sleeps 17",€1000 to €2900 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD003218_A/index.htm
"Cottage for 4 & shared pool to let, Brittany - BF006986","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£497 to £1204 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF006986/index.htm
Holiday let & pool Loire Valley - VI004218_A,"Bedrooms 3, Sleeps 6",£595 to £1095 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/VI004218_A/index.htm
Bijoux property with shared pool in Charente - PC006572_B,"Bedrooms 2, Sleeps 4",€700 to €980 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006572_B/index.htm
Holiday gite with large garden in Brittany - BN004377,"Bedrooms 7, Sleeps 16, Ratings 2 9.3/10",£995 to £1320 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN004377/index.htm
Gite with shared pool in Poitou Charentes - PS005217,"Bedrooms 2, Sleeps 6",£560 to £840 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS005217/index.htm
Holiday gite for 2 in Limousin - US005241,"Bedrooms 1, Sleeps 2",£475 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/US005241/index.htm
Holiday gite with pool on the Tarn border - MV005828,"Bedrooms 2, Sleeps 5, Ratings 9 9.9/10",£455 to £785 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/MV005828/index.htm
Holiday cottage with pools near the Dordogne - ML005336,"Bedrooms 4, Sleeps 8",£495 to £1195 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/ML005336/index.htm
Rural holiday cottage for 6 to let in Vendee - LV006679,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£550 to £775 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV006679/index.htm
Holiday gite accommodation nr La Palmyre - PM002091,"Bedrooms 3, Sleeps 6, Ratings 2 9.8/10",£560 to £980 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002091/index.htm
"Lovely home and private pool, Charente - PC005983","Bedrooms 3, Sleeps 6, Ratings 7 9.9/10",£970 to £1500 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC005983/index.htm
Gite for holiday let in Languedoc - RA005019,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£499 to £899 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA005019/index.htm
Lakeside holiday lodge property rental Vendee - LV003727_A,"Bedrooms 2, Sleeps 4, Ratings 17 9.8/10",£300 to £660 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV003727_A/index.htm
Riverside holiday apartment nr Dinan - BN004019,"Bedrooms 2, Sleeps 5, Ratings 3 10/10",£385 to £575 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN004019/index.htm
Stunning barn to let with pool in Calvados - NC003291,"Bedrooms 4, Sleeps 10, Ratings 1 10/10",£950 to £1800 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC003291/index.htm
"18thC Château to let, private pool, Dordogne - AD006735","Bedrooms 5, Sleeps 10",£2695 to £3965 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006735/index.htm
"Holiday cottage, shared pool, Aquitaine - AD007126","Bedrooms 4, Sleeps 8",£1340 to £2140 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007126/index.htm
"Holiday villa and pool, sleeps 14, Aubeterre - PC007145","Bedrooms 6, Sleeps 14",£2950 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC007145/index.htm
"Country house to let, indoor pool, Dordogne - AD007277","Bedrooms 5, Sleeps 10",£1795 to £1995 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007277/index.htm
